fecha,hora,observacion,temperatura
20111214,16,15860,8.685562
20111214,17,17283,8.685562
20111214,18,18303,7.449463
20111214,19,18168,6.338352
20111214,20,17765,6.338352
20111214,21,17131,6.463339
20111214,22,16011,6.463339
20111214,23,14399,6.463339
20111214,24,12817,6.463339
20111215,1,11756,7.14854
20111215,2,11209,7.14854
20111215,3,10956,7.14854
20111215,4,10922,7.282994
20111215,5,11208,7.838549
20111215,6,12313,8.122517
20111215,7,14372,8.678073
20111215,8,15646,9.538771
20111215,9,15845,9.69971
20111215,10,15957,10.977578
20111215,11,16003,12.440392
20111215,12,15978,13.928747
20111215,13,15848,14.484303
20111215,14,15851,15.039858
20111215,15,15775,15.23856
20111215,16,15965,15.794115
20111215,17,17147,15.794115
20111215,18,17798,15.794115
20111215,19,17537,15.44426
20111215,20,17149,15.657173
20111215,21,16506,15.877521
20111215,22,15407,16.433077
20111215,23,13859,16.433077
20111215,24,12275,16.661086
20111216,1,11207,16.661086
20111216,2,10615,16.661086
20111216,3,10359,15.877521
20111216,4,10301,15.877521
20111216,5,10586,16.555371
20111216,6,11670,14.847944
20111216,7,13743,13.033044
20111216,8,14926,11.171883
20111216,9,15167,10.481873
20111216,10,15259,9.435093
20111216,11,15323,9.990648
20111216,12,15264,9.990648
20111216,13,15106,10.434314
20111216,14,15051,9.990648
20111216,15,14966,10.434314
20111216,16,15158,9.878759
20111216,17,16590,8.767648
20111216,18,17531,8.212092
20111216,19,17315,7.21287
20111216,20,16816,6.657315
20111216,21,16259,6.101759
20111216,22,15466,6.101759
20111216,23,14263,5.546204
20111216,24,12876,5.546204
20111217,1,11802,4.435093
20111217,2,11230,4.435093
20111217,3,10960,3.212092
20111217,4,10874,3.212092
20111217,5,10999,3.212092
20111217,6,11490,2.656537
20111217,7,12363,2.656537
20111217,8,13295,1.99318
20111217,9,14331,2.656537
20111217,10,14911,4.323203
20111217,11,15064,5.434314
20111217,12,14981,5.778223
20111217,13,14838,5.489151
20111217,14,14738,5.399876
20111217,15,14752,4.202837
20111217,16,15041,3.485023
20111217,17,16456,2.852924
20111217,18,17338,2.223744
20111217,19,17111,1.597386
20111217,20,16715,0.352748
20111217,21,16315,-0.265714
20111217,22,15674,-1.376826
20111217,23,14692,-1.43728
20111217,24,13526,-2.662281
20111218,1,12554,-3.271434
20111218,2,12004,-3.773392
20111218,3,11717,-4.328948
20111218,4,11629,-4.884503
20111218,5,11709,-5.493657
20111218,6,12073,-6.604768
20111218,7,12754,-7.211795
20111218,8,13527,-7.211795
20111218,9,14567,-7.261214
20111218,10,15205,-6.150103
20111218,11,15426,-5.594548
20111218,12,15463,-3.975322
20111218,13,15423,-3.4653
20111218,14,15292,-2.953439
20111218,15,15215,-2.439805
20111218,16,15540,-2.518586
20111218,17,17199,-3.074141
20111218,18,18418,-4.222233
20111218,19,18526,-5.257796
20111218,20,18243,-5.257796
20111218,21,17825,-6.328694
20111218,22,16830,-6.286773
20111218,23,15417,-6.798634
20111218,24,14017,-6.842328
20111219,1,13119,-7.909745
20111219,2,12669,-7.909745
20111219,3,12510,-7.864211
20111219,4,12549,-7.81677
20111219,5,12940,-7.76735
20111219,6,14145,-7.76735
20111219,7,16257,-7.76735
20111219,8,17332,-7.160323
20111219,9,17103,-5.493657
20111219,10,17017,-2.548391
20111219,11,17039,0.557078
20111219,12,16974,3.091726
20111219,13,16705,4.933595
20111219,14,16465,6.789316
20111219,15,16280,8.000446
20111219,16,16506,8.104291
20111219,17,18034,8.104291
20111219,18,19040,8.212092
20111219,19,18852,8.212092
20111219,20,18393,8.323982
20111219,21,17683,7.768426
20111219,22,16472,7.768426
20111219,23,14802,7.88454
20111219,24,13179,8.440095
20111220,1,12043,7.88454
20111220,2,11453,8.560574
20111220,3,11146,8.685562
20111220,4,11097,8.815206
20111220,5,11451,8.259651
20111220,6,12555,8.130006
20111220,7,14638,7.328984
20111220,8,15859,5.778223
20111220,9,16108,5.122649
20111220,10,16153,4.470777
20111220,11,16152,4.202837
20111220,12,16077,5.15169
20111220,13,15900,5.557078
20111220,14,15852,5.486275
20111220,15,15770,5.418196
20111220,16,15991,5.352748
20111220,17,17588,4.241637
20111220,18,18745,2.640418
20111220,19,18717,2.152941
20111220,20,18401,1.597386
20111220,21,17820,1.112633
20111220,22,16756,0.630702
20111220,23,15138,0.707245
20111220,24,13570,0.786811
20111221,1,12475,0.786811
20111221,2,11884,1.980615
20111221,3,11587,2.066543
20111221,4,11504,2.80411
20111221,5,11799,2.900427
20111221,6,12851,4.111557
20111221,7,14840,4.878759
20111221,8,16116,5.106762
20111221,9,16314,5.782796
20111221,10,16382,6.592984
20111221,11,16410,8.678073
20111221,12,16387,10.255266
20111221,13,16319,10.594779
20111221,14,16331,10.773725
20111221,15,16273,12.460782
20111221,16,16512,12.666482
20111221,17,17645,13.434951
20111221,18,18188,13.990506
20111221,19,17936,16.341435
20111221,20,17521,16.341435
20111221,21,16850,16.585473
20111221,22,15760,17.141028
20111221,23,14174,17.141028
20111221,24,12535,17.393443
20111222,1,11400,17.452546
20111222,2,10806,16.105531
20111222,3,10498,15.321966
20111222,4,10417,15.101617
20111222,5,10703,14.683004
20111222,6,11722,14.484303
20111222,7,13685,14.107058
20111222,8,14854,13.551503
20111222,9,15099,13.372557
20111222,10,15186,13.372557
20111222,11,15232,14.310911
20111222,12,15135,15.255266
20111222,13,14899,15.649882
20111222,14,14820,15.094326
20111222,15,14717,15.094326
20111222,16,14918,14.538771
20111222,17,16314,13.827913
20111222,18,17361,13.122517
20111222,19,17248,12.161246
20111222,20,16875,12.161246
20111222,21,16319,11.205438
20111222,22,15373,10.649882
20111222,23,13942,10.649882
